"relpath","listed","writable","writableVia","ownWritable","mirrored","generated","disabled","ext","isDefault"
"ban.defaults.txt","False","False","none","False","False","False","False",".txt","True"
"ban.txt","True","True","file-write","False","False","False","False",".txt","False"
"battleye/battleye/beserver_x64_active_2f035635.cfg","False","False","none","False","False","False","False",".cfg","False"
"battleye/beserver_x64.cfg","False","False","none","False","False","False","False",".cfg","False"
"battleye/EULA/cs.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/de.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/en.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/es.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/fr.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/it.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/ja.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/ko.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/nl.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/pl.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/pt.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/ru.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/tr.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/zh-TW.txt","False","False","none","False","False","False","False",".txt","False"
"battleye/EULA/zh.txt","False","False","none","False","False","False","False",".txt","False"
"config-registry.json","False","False","none","False","False","False","False",".json","False"
"custom-ce/custom_types.xml","True","False","none","False","False","False","False",".xml","False"
"custom-ce/custom-ce.json","True","False","none","False","False","False","False",".json","False"
"custom-ce/expansion_spawnabletypes.xml","True","False","none","False","False","False","False",".xml","False"
"custom-ce/expansion_types_tuning.defaults.xml","False","False","none","False","False","False","False",".xml","True"
"custom-ce/expansion_types_tuning.xml","True","True","types-write","False","True","False","False",".xml","False"
"custom-ce/expansion_types.xml","True","False","none","False","False","False","False",".xml","False"
"custom-ce/maps/dayzOffline.enoch/expansion_types_tuning.defaults.xml","False","False","none","False","False","False","False",".xml","True"
